,text,author_id,conversation_id,created_at,in_reply_to_user_id,id
80,@WanjikuReports Google,854986048568471552,1473929269319553026,2021-12-24T05:12:03.000Z,1242834186173665280,1474246470228455461
81,@WanjikuReports KPA,1413855535103946756,1473929269319553026,2021-12-24T05:09:28.000Z,1242834186173665280,1474245820975362078
82,@JamalGaddafi @WanjikuReports Worked with them for the last 5 years. Good employer yes. But the office politics ain't healthy at all.,2639247055,1473929269319553026,2021-12-24T05:08:52.000Z,267151456,1474245670404042768
83,@WanjikuReports @KCBGroup as a DSR 😊,931157192614477826,1473929269319553026,2021-12-24T05:08:07.000Z,1242834186173665280,1474245482943758337
84,@WanjikuReports id like to work with @kenya_ports an opportunity will be a turning point of my life.,1182166448149532672,1473929269319553026,2021-12-24T05:05:56.000Z,1242834186173665280,1474244932990873611
85,@WanjikuReports Amref Dktr Githinji Gitahi my role model,2680071453,1473929269319553026,2021-12-24T05:05:22.000Z,1242834186173665280,1474244787704377374
86,"@WanjikuReports @conrad_jLm Amref, Microsoft, United Nations",966968702221586432,1473929269319553026,2021-12-24T05:04:32.000Z,1242834186173665280,1474244578240724992
87,@Tha_Crusaider @WanjikuReports @BidcoGroup I wish you luck,2260420023,1473929269319553026,2021-12-24T05:03:54.000Z,2173372323,1474244418605625384
88,@WanjikuReports United Nations,832294287127805956,1473929269319553026,2021-12-24T05:02:54.000Z,1242834186173665280,1474244168839012352
89,"@WanjikuReports 7,11,14",2899495324,1473929269319553026,2021-12-24T05:02:37.000Z,1242834186173665280,1474244098169188361
90,@WanjikuReports Safaricom,1256023938821480451,1473929269319553026,2021-12-24T05:02:36.000Z,1242834186173665280,1474244094314623022
91,@WanjikuReports Internship tu @KenGenKenya,1097161019238084610,1473929269319553026,2021-12-24T05:02:29.000Z,1242834186173665280,1474244064958689286
92,@WanjikuReports United Nations,1457622488058314757,1473929269319553026,2021-12-24T05:00:19.000Z,1242834186173665280,1474243516746379283
93,@WanjikuReports 3,2313873134,1473929269319553026,2021-12-24T05:00:07.000Z,1242834186173665280,1474243466955796496
94,@WanjikuReports What is KCB doing there,188076922,1473929269319553026,2021-12-24T04:58:13.000Z,1242834186173665280,1474242988834533376
95,@WanjikuReports @KRACorporate @KRACare,2439724002,1473929269319553026,2021-12-24T04:57:09.000Z,1242834186173665280,1474242720151580700
96,@WanjikuReports 6 nataka mafuta .,1683903289,1473929269319553026,2021-12-24T04:55:33.000Z,1242834186173665280,1474242317733277710
97,@WanjikuReports L'OREAL,1138933957,1473929269319553026,2021-12-24T04:52:38.000Z,1242834186173665280,1474241584933842973
98,"@WanjikuReports UN
Safaricom
Google 
Microsoft 🙏🙏",864227999650107392,1473929269319553026,2021-12-24T04:52:16.000Z,1242834186173665280,1474241492453634088
99,@WanjikuReports Cocacola,1018142905435860992,1473929269319553026,2021-12-24T04:52:05.000Z,1242834186173665280,1474241446454702095
100,@Dagitari_ @WanjikuReports @KCBGroup Umekuwa member,1469532031126228995,1473929269319553026,2021-12-23T15:42:33.000Z,1170926742468550656,1474042752165941264
101,@cacxy @Joenyayo @WanjikuReports @Amref_Kenya That's maturity. 👏🏾,1247476671445438464,1473929269319553026,2021-12-23T15:42:27.000Z,349658527,1474042727079817217
102,"@EngMagondu1 @Joenyayo @WanjikuReports @Amref_Kenya Thank You Bw. Engeneer, always ready to be corrected. To @Joenyayo I stand to be correcred and every day is a learning day. Sikua na ubaya btw.",349658527,1473929269319553026,2021-12-23T15:42:02.000Z,1247476671445438464,1474042622259965955
103,@WanjikuReports Start your own brand,1458372412492369920,1473929269319553026,2021-12-23T15:41:38.000Z,1242834186173665280,1474042522032873484
104,@governorkiongos @WanjikuReports @KenGenKenya Electrical &amp; Electronics Eng.,72002466,1473929269319553026,2021-12-23T15:41:14.000Z,1322815469838127104,1474042421902290946
105,@WanjikuReports 3,313991080,1473929269319553026,2021-12-23T15:41:02.000Z,1242834186173665280,1474042370643607554
106,"@WanjikuReports Royal Media Services, @citizentvkenya",529540393,1473929269319553026,2021-12-23T15:38:31.000Z,1242834186173665280,1474041736951390216
107,@WanjikuReports Eabl,1337412640407162883,1473929269319553026,2021-12-23T15:38:00.000Z,1242834186173665280,1474041606651228164
108,@WanjikuReports KRA,1280787573850472449,1473929269319553026,2021-12-23T15:37:59.000Z,1242834186173665280,1474041603421528065
109,"@WanjikuReports If @aphrc/@AfricaCDC, I hope one day it will be a reality.",2731428565,1473929269319553026,2021-12-23T15:37:52.000Z,1242834186173665280,1474041574447370241
110,@WanjikuReports @KenGenKenya,888275941469728769,1473929269319553026,2021-12-23T15:37:29.000Z,1242834186173665280,1474041480591421444
111,@WanjikuReports Wale EABL tunasimama wapi,757550298,1473929269319553026,2021-12-23T15:37:13.000Z,1242834186173665280,1474041409648926726
112,@WanjikuReports @UN,1126808133555445761,1473929269319553026,2021-12-23T15:36:29.000Z,1242834186173665280,1474041227389673481
113,@WanjikuReports UN,1375451162669953027,1473929269319553026,2021-12-23T15:36:25.000Z,1242834186173665280,1474041210880856065
114,@itsdennohbruh @anti_saiyan @WanjikuReports Uta tarmack hadi u tii,1322815469838127104,1473929269319553026,2021-12-23T15:35:49.000Z,1181058765325516800,1474041059927891971
115,@WanjikuReports All the above @WanjikuReports,1918802724,1473929269319553026,2021-12-23T15:34:53.000Z,1242834186173665280,1474040824103153675
116,@governorkiongos @anti_saiyan @WanjikuReports Probably😂🤝🏼,1181058765325516800,1473929269319553026,2021-12-23T15:34:38.000Z,1322815469838127104,1474040760102268929
